QALLP,Age,MDCP Social Marital Status,QALFP - 4 Digit Level,Labour Force Status,No children,1,2,3,4,5,6,7,8,Not applicible,Total
Bachelor,87,Married in a registered marriage,Visual Arts and Crafts,NILF,1,6,8,4,3,2,8,6,10,43,91
Bachelor,88,Married in a registered marriage,Public Health,EmployedPT,1,4,3,5,0,8,8,8,6,39,82
Bachelor,89,Married in a registered marriage,Nursing,EmployedFT,1,8,1,8,2,2,4,1,8,32,67
Bachelor,90,Married in a registered marriage,Chemical Sciences,Unemployed,0,5,3,8,4,2,3,4,1,27,57
Bachelor,91,Married in a registered marriage,Political Science and Policy Studies,NILF,0,9,4,3,0,8,5,10,9,43,91
Bachelor,92,Married in a registered marriage,Performing Arts,EmployedFT,1,3,2,3,1,2,6,10,2,27,57
Bachelor,93,Married in a registered marriage,Manufacturing Engineering and Technology,EmployedFT,1,6,3,10,9,4,3,10,5,46,97
Bachelor,94,Married in a registered marriage,Mechanical and Industrial Engineering and Technology,EmployedAway,0,10,1,1,1,7,9,10,5,40,84
Bachelor,95,Married in a registered marriage,"Education, nfd",NILF,0,10,10,6,3,3,4,4,2,38,80
Bachelor,96,Married in a registered marriage,Medical Studies,EmployedPT,1,1,2,4,2,0,10,3,6,26,55
Bachelor,97,Married in a registered marriage,Nursing,EmployedFT,1,7,1,5,4,8,3,3,2,31,65
Bachelor,98,Married in a registered marriage,Nursing,EmployedFT,1,9,7,7,10,9,3,6,3,50,105
Bachelor,99,Married in a registered marriage,"Education, nfd",EmployedAway,0,1,7,9,3,1,4,7,4,32,68
Bachelor,100,Married in a registered marriage,Curriculum and Education Studies,NILF,1,0,4,2,0,5,5,9,9,32,67
Bachelor,101,Married in a registered marriage,Veterinary Studies,EmployedAway,0,9,10,1,4,1,1,6,2,31,65
Bachelor,102,Married in a registered marriage,Nursing,EmployedPT,1,4,9,9,8,3,5,7,7,48,101
Bachelor,103,Married in a registered marriage,Teacher Education,EmployedPT,1,3,1,7,7,7,3,4,1,31,65
Bachelor,104,Married in a registered marriage,Physics and Astronomy,Unemployed,0,8,7,0,5,1,6,2,0,26,55
Bachelor,105,Married in a registered marriage,Communication and Media Studies,EmployedFT,0,3,9,6,4,4,4,4,3,33,70
Diploma,0,Married in a registered marriage,Geomatic Engineering,Unemployed,0,0,0,0,0,0,0,0,0,0,0
Diploma,1,Married in a registered marriage,"Health, nfd",NILF,0,0,0,0,0,0,0,0,0,0,0
Diploma,2,Married in a registered marriage,Maritime Engineering and Technology,EmployedAway,0,0,0,0,0,0,0,0,0,0,0
Diploma,3,Married in a registered marriage,Earth Sciences,NILF,0,0,0,0,0,0,0,0,0,0,0
Diploma,4,Married in a registered marriage,"Natural and Physical Sciences, nfd",EmployedPT,0,0,0,0,0,0,0,0,0,0,0
Diploma,5,Married in a registered marriage,Optical Science,EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Diploma,6,Married in a registered marriage,Other Information Technology,EmployedAway,0,0,0,0,0,0,0,0,0,0,0
Diploma,7,Married in a registered marriage,Nursing,EmployedAway,0,0,0,0,0,0,0,0,0,0,0
Diploma,8,Married in a registered marriage,Electrical and Electronic Engineering and Technology,Unemployed,0,0,0,0,0,0,0,0,0,0,0
Diploma,9,Married in a registered marriage,Curriculum and Education Studies,Unemployed,0,0,0,0,0,0,0,0,0,0,0
Diploma,10,Married in a registered marriage,Language and Literature,EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Diploma,11,Married in a registered marriage,Field of study not stated,Unemployed,0,0,0,0,0,0,0,0,0,0,0
Diploma,12,Married in a registered marriage,"Education, nfd",Unemployed,0,0,0,0,0,0,0,0,0,0,0
Diploma,13,Married in a registered marriage,"Health, nfd",EmployedPT,0,0,0,0,0,0,0,0,0,0,0
Diploma,14,Married in a registered marriage,Tourism,EmployedAway,0,0,0,0,0,0,0,0,0,0,0
Diploma,15,Married in a registered marriage,Field of study not stated,NILF,0,0,0,0,0,0,0,0,0,0,0
Diploma,16,Married in a registered marriage,Graphic and Design Studies,EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Diploma,17,Married in a registered marriage,Dental Studies,Unemployed,5,9,9,8,1,1,8,6,6,48,101
Diploma,18,Married in a registered marriage,Performing Arts,EmployedAway,2,7,7,3,6,10,7,4,9,50,105
Diploma,19,Married in a registered marriage,Public Health,EmployedPT,1,3,2,2,6,5,0,6,3,25,53
Diploma,20,Married in a registered marriage,Other Engineering and Related Technologies,EmployedFT,2,7,6,6,6,6,3,7,5,43,91
Diploma,21,Married in a registered marriage,Other Creative Arts,NILF,1,3,5,4,0,4,3,3,4,24,51
Diploma,22,Married in a registered marriage,Pharmacy,EmployedFT,1,4,3,2,8,8,10,2,0,34,72
Diploma,23,Married in a registered marriage,Information Systems,EmployedAway,1,0,7,6,1,4,2,7,7,32,67
Diploma,24,Married in a registered marriage,Communication and Media Studies,EmployedPT,2,6,8,2,9,7,1,10,9,49,103
Diploma,25,Married in a registered marriage,Architecture,EmployedAway,1,9,6,10,6,0,5,0,4,37,78
Diploma,26,Married in a registered marriage,"Banking, Finance and Related Fields",EmployedPT,0,6,7,1,5,4,2,7,6,34,72
Diploma,27,Married in a registered marriage,Rehabilitation Therapies,Unemployed,3,1,6,7,7,7,4,9,4,43,91
Diploma,28,Married in a registered marriage,Other Management and Commerce,EmployedFT,2,5,10,6,1,4,6,9,1,40,84
Diploma,29,Married in a registered marriage,Rehabilitation Therapies,EmployedFT,3,4,9,9,7,4,2,3,2,39,82
Diploma,30,Married in a registered marriage,Curriculum and Education Studies,EmployedPT,1,9,2,5,9,4,3,7,0,36,76
Diploma,31,Married in a registered marriage,Studies in Human Society,EmployedFT,2,5,5,6,6,3,8,6,8,44,93
Diploma,32,Married in a registered marriage,Chemical Sciences,NILF,1,1,7,6,4,3,2,0,5,26,55
Diploma,33,Married in a registered marriage,Medical Studies,EmployedFT,0,6,4,4,2,2,2,1,10,28,59
Diploma,34,Married in a registered marriage,Aerospace Engineering and Technology,NILF,3,7,7,5,5,1,1,10,2,37,78
Diploma,35,Married in a registered marriage,Veterinary Studies,Unemployed,2,3,8,4,6,8,7,4,1,39,82
Diploma,36,Married in a registered marriage,Optical Science,EmployedPT,2,0,3,6,3,5,10,1,8,34,72
Diploma,37,Married in a registered marriage,Dental Studies,Unemployed,0,9,8,8,0,4,6,9,9,48,101
Diploma,38,Married in a registered marriage,Graphic and Design Studies,EmployedFT,2,8,1,7,10,5,7,2,3,41,86
Diploma,39,Married in a registered marriage,Electrical and Electronic Engineering and Technology,EmployedPT,2,1,9,5,4,7,6,8,7,44,93
Diploma,40,Married in a registered marriage,Civil Engineering,Unemployed,2,9,2,7,1,6,3,0,8,34,72
Diploma,41,Married in a registered marriage,Manufacturing Engineering and Technology,NILF,2,2,4,4,4,6,6,6,9,39,82
Diploma,42,Married in a registered marriage,Radiography,EmployedAway,1,2,6,7,2,4,8,9,3,38,80
Diploma,43,Married in a registered marriage,Earth Sciences,NILF,1,0,5,2,1,7,7,6,1,27,57
Diploma,44,Married in a registered marriage,Other Health,EmployedFT,1,4,9,2,2,10,7,5,4,40,84
Diploma,45,Married in a registered marriage,Other Information Technology,EmployedPT,2,8,7,9,10,1,3,1,1,38,80
Diploma,46,Married in a registered marriage,Medical Studies,EmployedPT,1,7,4,1,1,2,5,3,6,27,57
Diploma,47,Married in a registered marriage,Law,NILF,0,10,1,6,7,4,2,10,1,37,78
Diploma,48,Married in a registered marriage,Visual Arts and Crafts,EmployedFT,1,3,9,2,1,6,2,0,7,28,59
Diploma,49,Married in a registered marriage,Other Natural and Physical Sciences,Unemployed,1,1,9,5,6,7,4,10,2,41,86
Diploma,50,Married in a registered marriage,Information Systems,NILF,1,3,4,3,8,3,3,3,7,32,67
Diploma,51,Married in a registered marriage,Other Education,EmployedAway,1,8,1,7,1,10,10,9,6,48,101
Diploma,52,Married in a registered marriage,Radiography,EmployedFT,1,6,5,5,5,2,4,8,3,35,74
Diploma,53,Married in a registered marriage,"Banking, Finance and Related Fields",EmployedFT,0,6,10,7,7,4,2,7,9,47,99
Diploma,54,Married in a registered marriage,Agriculture,EmployedAway,1,7,7,4,8,8,5,5,6,46,97
Diploma,55,Married in a registered marriage,Agriculture,NILF,2,2,1,3,2,7,2,1,8,25,53
Diploma,56,Married in a registered marriage,Teacher Education,Unemployed,2,10,6,6,6,8,9,4,10,55,116
Diploma,57,Married in a registered marriage,Pharmacy,EmployedFT,1,4,6,8,1,8,6,1,9,40,84
Diploma,58,Married in a registered marriage,Veterinary Studies,EmployedFT,2,0,1,2,9,2,3,3,4,23,49
Diploma,59,Married in a registered marriage,Mathematical Sciences,EmployedFT,1,9,1,9,8,10,6,0,6,45,95
Diploma,60,Married in a registered marriage,"Natural and Physical Sciences, nfd",EmployedAway,0,0,1,1,7,6,5,4,7,28,59
Diploma,61,Married in a registered marriage,Agriculture,EmployedFT,0,3,4,9,9,4,2,1,7,35,74
Diploma,62,Married in a registered marriage,Nursing,EmployedFT,1,5,6,9,2,9,8,0,8,43,91
Diploma,63,Married in a registered marriage,Not applicable,EmployedAway,2,5,8,4,8,9,6,2,6,45,95
Diploma,64,Married in a registered marriage,Automotive Engineering and Technology,Unemployed,0,3,1,8,3,8,4,9,1,33,70
Diploma,65,Married in a registered marriage,Other Natural and Physical Sciences,NILF,0,5,5,8,3,7,9,9,2,43,91
Diploma,66,Married in a registered marriage,Mechanical and Industrial Engineering and Technology,NILF,1,8,2,4,4,6,4,4,9,38,80
Diploma,67,Married in a registered marriage,Office Studies,Unemployed,1,2,9,6,0,9,9,7,0,39,82
Diploma,68,Married in a registered marriage,Other Information Technology,Unemployed,1,5,1,2,7,2,7,6,2,30,63
Diploma,69,Married in a registered marriage,Complementary Therapies,EmployedAway,1,3,5,6,8,4,2,7,2,34,72
Diploma,70,Married in a registered marriage,Civil Engineering,NILF,0,10,3,7,3,5,2,0,6,32,68
Diploma,71,Married in a registered marriage,Language and Literature,Unemployed,1,7,9,4,10,1,2,6,6,41,87
Diploma,72,Married in a registered marriage,Complementary Therapies,EmployedFT,0,2,2,2,4,9,7,4,9,35,74
Diploma,73,Married in a registered marriage,"Education, nfd",Unemployed,0,8,9,1,1,5,3,8,5,36,76
Diploma,74,Married in a registered marriage,Process and Resources Engineering,NILF,1,4,8,1,7,2,7,2,8,36,76
Diploma,75,Married in a registered marriage,Architecture,Unemployed,0,6,7,4,0,6,7,6,6,38,80
Diploma,76,Married in a registered marriage,Performing Arts,EmployedAway,1,6,4,9,5,7,5,8,4,44,93
Diploma,77,Married in a registered marriage,Information Systems,EmployedFT,1,8,7,6,7,6,3,6,5,44,93
Diploma,78,Married in a registered marriage,Veterinary Studies,EmployedAway,0,3,3,7,4,9,6,8,3,39,82
Diploma,79,Married in a registered marriage,Information Systems,EmployedPT,0,7,4,4,2,6,5,5,8,37,78
Diploma,80,Married in a registered marriage,"Banking, Finance and Related Fields",EmployedFT,1,7,5,3,5,4,5,5,7,38,80
Diploma,81,Married in a registered marriage,Other Health,NILF,1,4,7,1,5,0,2,4,6,27,57
Diploma,82,Married in a registered marriage,Language and Literature,EmployedFT,0,9,1,6,4,5,6,6,0,33,70
Diploma,83,Married in a registered marriage,Optical Science,Unemployed,1,6,4,8,2,7,10,3,0,37,78
Diploma,84,Married in a registered marriage,Performing Arts,EmployedPT,1,2,0,2,6,5,4,2,6,25,53
Diploma,85,Married in a registered marriage,"Health, nfd",EmployedAway,1,6,1,9,9,5,6,4,1,38,80
Diploma,86,Married in a registered marriage,Nursing,EmployedFT,1,2,7,6,10,4,6,0,8,40,84
Diploma,87,Married in a registered marriage,Other Engineering and Related Technologies,Unemployed,0,4,3,8,3,2,6,5,7,34,72
Diploma,88,Married in a registered marriage,Graphic and Design Studies,EmployedAway,1,10,2,10,4,8,10,8,1,49,103
Diploma,89,Married in a registered marriage,Manufacturing Engineering and Technology,NILF,1,6,7,8,1,10,4,8,8,48,101
Diploma,90,Married in a registered marriage,Aerospace Engineering and Technology,EmployedAway,1,5,2,9,0,10,6,5,10,43,91
Diploma,91,Married in a registered marriage,Radiography,EmployedPT,1,1,3,0,10,3,6,3,10,33,70
Diploma,92,Married in a registered marriage,Nursing,EmployedAway,1,1,0,2,4,5,10,7,6,32,68
Diploma,93,Married in a registered marriage,Chemical Sciences,EmployedPT,1,7,3,0,6,6,1,9,8,37,78
Diploma,94,Married in a registered marriage,Accounting,EmployedPT,0,7,2,3,2,3,9,9,10,41,86
Diploma,95,Married in a registered marriage,Rehabilitation Therapies,EmployedAway,0,4,2,1,8,2,8,1,2,25,53
Diploma,96,Married in a registered marriage,Graphic and Design Studies,NILF,1,2,9,8,7,1,3,2,9,38,80
Diploma,97,Married in a registered marriage,Information Systems,EmployedFT,0,3,3,7,7,5,6,7,9,42,89
Diploma,98,Married in a registered marriage,Teacher Education,EmployedFT,1,2,4,7,6,3,9,3,4,35,74
Diploma,99,Married in a registered marriage,Rehabilitation Therapies,EmployedAway,1,6,3,5,9,7,1,10,6,43,91
Diploma,100,Married in a registered marriage,Process and Resources Engineering,EmployedFT,1,6,5,3,4,7,9,9,0,40,84
Diploma,101,Married in a registered marriage,Office Studies,EmployedAway,0,5,3,6,8,6,0,4,2,31,65
Diploma,102,Married in a registered marriage,Architecture,EmployedPT,0,5,4,9,7,0,2,10,8,41,86
Diploma,103,Married in a registered marriage,Manufacturing Engineering and Technology,EmployedPT,0,6,2,6,2,3,8,1,3,28,59
Diploma,104,Married in a registered marriage,"Engineering and Related Technologies, nfd",EmployedAway,1,10,0,6,7,8,5,9,2,43,91
Diploma,105,Married in a registered marriage,Chemical Sciences,EmployedPT,0,3,7,8,7,1,2,10,9,42,89
Bachelor,0,Married in a de facto marriage,Dental Studies,EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,1,Married in a de facto marriage,Maritime Engineering and Technology,NILF,0,0,0,0,0,0,0,0,0,0,0
Bachelor,2,Married in a de facto marriage,Other Creative Arts,NILF,0,0,0,0,0,0,0,0,0,0,0
Bachelor,3,Married in a de facto marriage,Information Systems,EmployedAway,0,0,0,0,0,0,0,0,0,0,0
Bachelor,4,Married in a de facto marriage,Radiography,EmployedAway,0,0,0,0,0,0,0,0,0,0,0
Bachelor,5,Married in a de facto marriage,"Creative Arts, nfd",NILF,0,0,0,0,0,0,0,0,0,0,0
Bachelor,6,Married in a de facto marriage,Performing Arts,EmployedAway,0,0,0,0,0,0,0,0,0,0,0
Bachelor,7,Married in a de facto marriage,Other Health,EmployedPT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,8,Married in a de facto marriage,"Creative Arts, nfd",Unemployed,0,0,0,0,0,0,0,0,0,0,0
Bachelor,9,Married in a de facto marriage,Veterinary Studies,EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,10,Married in a de facto marriage,Civil Engineering,EmployedPT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,11,Married in a de facto marriage,Radiography,EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,12,Married in a de facto marriage,Geomatic Engineering,NILF,0,0,0,0,0,0,0,0,0,0,0
Bachelor,13,Married in a de facto marriage,Manufacturing Engineering and Technology,Unemployed,0,0,0,0,0,0,0,0,0,0,0
Bachelor,14,Married in a de facto marriage,"Engineering and Related Technologies, nfd",Unemployed,0,0,0,0,0,0,0,0,0,0,0
Bachelor,15,Married in a de facto marriage,Maritime Engineering and Technology,EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,16,Married in a de facto marriage,"Engineering and Related Technologies, nfd",EmployedPT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,17,Married in a de facto marriage,Mathematical Sciences,EmployedPT,2,9,0,7,5,4,6,4,9,41,87
Bachelor,18,Married in a de facto marriage,Aerospace Engineering and Technology,EmployedFT,4,7,0,7,10,8,1,10,7,49,103
Bachelor,19,Married in a de facto marriage,"Creative Arts, nfd",EmployedFT,4,3,7,1,10,3,9,1,6,40,84
Bachelor,20,Married in a de facto marriage,Accounting,EmployedFT,3,5,6,6,1,0,1,5,8,32,67
Bachelor,21,Married in a de facto marriage,"Natural and Physical Sciences, nfd",EmployedFT,4,4,1,6,9,5,3,3,4,35,74
Bachelor,22,Married in a de facto marriage,Language and Literature,EmployedAway,3,5,9,8,3,0,2,2,5,33,70
Bachelor,23,Married in a de facto marriage,Sales and Marketing,Unemployed,3,9,9,4,4,3,3,2,0,33,70
Bachelor,24,Married in a de facto marriage,Not applicable,EmployedAway,1,4,6,8,4,1,4,0,9,33,70
Bachelor,25,Married in a de facto marriage,Language and Literature,EmployedAway,2,7,8,3,9,1,0,6,8,40,84
Bachelor,26,Married in a de facto marriage,Biological Sciences,Unemployed,1,2,3,7,6,5,9,6,6,41,86
Bachelor,27,Married in a de facto marriage,Other Health,EmployedFT,0,4,3,3,1,9,1,4,7,29,61
Bachelor,28,Married in a de facto marriage,Other Education,NILF,3,6,3,7,10,3,2,8,10,47,99
Bachelor,29,Married in a de facto marriage,Radiography,NILF,2,5,9,2,6,5,8,1,1,35,74
Bachelor,30,Married in a de facto marriage,Other Creative Arts,EmployedAway,0,4,1,8,10,7,8,1,9,43,91
Bachelor,31,Married in a de facto marriage,Mathematical Sciences,Unemployed,1,0,0,7,2,9,3,4,6,29,61
Bachelor,32,Married in a de facto marriage,Mathematical Sciences,NILF,2,1,6,4,2,10,5,5,1,32,68
Bachelor,33,Married in a de facto marriage,Not applicable,Unemployed,0,5,3,8,5,7,5,9,6,43,91
Bachelor,34,Married in a de facto marriage,Aerospace Engineering and Technology,Unemployed,3,2,7,1,4,0,5,4,0,23,49
Bachelor,35,Married in a de facto marriage,Office Studies,Unemployed,2,8,0,3,4,2,1,4,2,23,49
Bachelor,36,Married in a de facto marriage,Manufacturing Engineering and Technology,EmployedFT,3,3,3,3,6,2,8,2,8,34,72
Bachelor,37,Married in a de facto marriage,Other Health,NILF,1,8,5,4,5,8,10,4,7,47,99
Bachelor,38,Married in a de facto marriage,Electrical and Electronic Engineering and Technology,Unemployed,2,10,8,5,3,3,5,7,9,47,99
