Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"QALFP Non-School Qualification: Field of Study and OCC06P Occupation 06 (ANZSCO) by SEXP Sex, MDCP Social Marital Status and AGEP Age (5 Year Groups) by CITP Australian Citizenship and QALLP Non-School Qualification: Level of Education"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"CITP Australian Citizenship","Australian"
"QALLP Non-School Qualification: Level of Education","Bachelor Degree Level"

,"SEXP Sex","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Machinery Operators And Drivers",0,0,0,0,0,0,0,5,14,4,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Labourers",0,0,0,0,0,0,3,3,13,10,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Inadequately described",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Not stated",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Not applicable",0,0,0,0,3,10,6,12,19,23,19,50,78,67,52,47,35,14,0,0,0,0,0,0,0,10,19,6,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,69,56,19,15,17,21,21,33,25,19,16,25,8,0,3,0,0,0,0,0,0,0,10,15,12,25,10,7,4,19,15,10,4,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,3,6,3,0,0,4,0,5,10,3,5,3,0,0,0,
"Chemical Sciences","Managers",0,0,0,0,3,22,76,146,177,201,196,187,103,17,5,3,4,0,0,0,0,0,0,0,0,0,7,11,17,13,8,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,21,32,24,29,31,32,24,14,3,0,0,0,0,0,0,0,0,0,0,0,0,13,47,62,68,43,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,10,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,17,20,27,9,8,4,4,0,0,0,0,0,0,0,0,
,"Professionals",0,0,0,0,10,56,186,195,193,226,221,234,109,45,6,3,0,0,0,0,0,0,0,0,0,7,58,39,29,28,17,25,10,3,4,0,0,0,0,0,0,0,0,0,0,0,124,121,113,76,65,62,46,55,23,7,5,0,0,0,0,0,0,0,0,0,0,13,70,116,121,142,118,98,35,12,5,0,0,0,0,0,0,0,0,0,0,0,29,50,43,17,15,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,110,55,37,53,30,25,20,6,4,0,0,0,0,0,0,0,
,"Technicians and Trades Workers",0,0,0,0,0,8,31,40,52,57,41,38,18,4,0,0,0,0,0,0,0,0,0,0,0,0,9,11,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,36,14,23,16,7,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,28,46,38,28,11,3,0,0,0,0,0,0,0,0,0,0,0,0,7,13,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32,17,12,12,7,4,5,0,0,0,0,0,0,0,0,0,
,"Community and Personal Service Workers",0,0,0,0,0,0,6,12,20,6,3,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,9,5,10,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,12,8,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,5,7,3,8,3,0,0,0,0,0,0,0,0,0,0,
,"Clerical and Administrative Workers",0,0,0,0,0,0,19,33,22,30,31,24,27,6,5,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,11,11,6,15,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,39,43,67,55,24,26,3,7,0,0,0,0,0,0,0,0,0,0,0,5,8,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,15,13,12,3,4,0,0,0,0,0,0,0,0,0,
,"Sales Workers",0,0,0,0,0,6,15,23,16,14,16,14,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,13,11,3,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,16,14,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,4,5,8,3,4,0,0,0,0,0,0,0,0,0,0,
,"Machinery Operators And Drivers",0,0,0,0,0,3,10,21,33,16,10,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,8,9,7,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,
,"Labourers",0,0,0,0,0,0,7,15,21,25,12,33,13,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,8,7,6,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,12,14,16,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,4,4,0,0,0,0,0,0,0,0,0,0,0,
,"Inadequately described",0,0,0,0,0,0,5,3,5,4,7,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
,"Not stated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Not applicable",0,0,0,0,0,11,11,26,30,33,35,124,180,196,144,124,73,24,8,0,0,0,0,0,0,7,18,4,4,3,3,4,10,6,0,3,3,0,0,0,0,0,0,0,0,0,54,67,20,17,22,26,33,67,48,44,21,54,25,17,5,0,0,0,0,0,0,6,27,83,114,78,61,42,48,59,43,23,20,12,3,0,0,0,0,0,0,0,13,11,6,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,38,18,16,16,19,18,20,28,15,18,16,16,10,3,0,0,
"Earth Sciences","Managers",0,0,0,0,0,10,62,76,101,127,113,109,39,16,3,0,0,0,0,0,0,0,0,0,0,0,7,15,10,16,10,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,14,13,7,25,12,10,7,3,0,0,0,0,0,0,0,0,0,0,0,6,7,16,23,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,8,3,5,5,0,0,0,0,0,0,0,0,0,
,"Professionals",0,0,0,0,3,81,222,253,273,234,254,209,93,35,9,5,0,0,0,0,0,0,0,0,0,34,87,85,52,39,35,22,12,3,3,0,0,0,0,0,0,0,0,0,0,0,74,156,97,72,56,42,53,51,24,9,4,0,0,0,0,0,0,0,0,0,0,5,50,70,75,49,48,26,13,4,3,0,0,0,0,0,0,0,0,0,0,0,23,71,30,22,13,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,89,58,28,18,14,14,13,3,0,0,0,0,0,0,0,0,
